"","Film","Released_Year","Released_month","Director","Cast_1","Cast_2","Genre_1","Genre_2","IMDB_Ratings","IMDB_Users","Budget_in_crore.INR.","Worldwide_box_office_gross_in_crore.INR."
"352","Dhadak",2018,"July","Shashank Khaitan","Janhvi Kapoor","Ishaan Khatter","Drama","",4.5,9871,41,111.79
"36","Drishyam",2015,"July","Nishikant Kamat","Ajay Devgn","Tabu","Thriller","",8.2,79403,62,110.43
"544","Pati Patni Aur Who",2019,"December","Mudassar Aziz","Kartik Aaryan"," Ananya Panday","Drama","Romance",5.8,7142,43,109.89
"147","Pink",2016,"September","Aniruddha Roy Chowdhury","Amitabh Bachchan","Taapsee Pannu","Drama","",8.1,44110,29,108.88
"361","Satyameva Jayate",2018,"August","Milap Zaveri","John Abraham","Manoj Bajpayee","Action","Thriller",5.7,7279,45,108.25
"135","Mohenjo Daro",2016,"August","Ashutosh Gowariker","Hrithik Roshan","Pooja Hegde","Drama","",5.7,11588,138,104.08
"175","Befikre",2016,"December","Aditya Chopra","Ranveer Singh","Vaani Kapoor","Drama","",4,7603,64,103.99
"105","Ki And Ka",2016,"April","R Balakrishnan","Arjun Kapoor","Kareena Kapoor","Comedy","Romance",5.7,5700,20,103
"417","Kedarnath",2018,"December","Abhishek Kapoor","Sushant Singh Rajput","Sara Ali Khan","Drama","Romance",6.7,13631,68,102.78
"253","Baadshaho",2017,"September","Milan Luthria","Ajay Devgn","Emraan Hashmi","Action","Thriller",4.9,4814,90,101.18
"604","Coolie No 1",2020,"December","David Dhawan","Varun Dhawan"," Sara Ali Khan","Comedy","Romance",4.2,73199,65,100
"120","Udta Punjab",2016,"June","Abhishek Chaubhey","Shahid Kapoor","Kareena Kapoor","Thriller","",7.8,29948,47,96.08
"475","Student Of The Year 2",2019,"May","Punit Malhotra","Tiger Shroff"," Ananya Panday","Action","Comedy",2.1,21259,65,93.52
"210","Hindi Medium",2017,"May","Saket Chaudhary","Irrfan Khan","Saba Qamar","Drama","",7.8,27890,23,91.86
"478","Article 15",2019,"June","Anubhav Sinha","Ayushmann Khurrana"," Isha Talwar","Drama","Thriller",8.2,32351,30,91.8
