"","Film","Released_Year","Released_month","Director","Cast_1","Cast_2","Genre_1","Genre_2","IMDB_Ratings","IMDB_Users","Budget_in_crore.INR.","Worldwide_box_office_gross_in_crore.INR."
"239","Bhavesh Joshi Superhero",2018,"June","Vikramaditya Motwane","Harshvardhan Kapoor","Nishikant Kamat","Action","Drama",7.6,8679,"21.00","2.52"
"251","Mulk",2018,"August","Anubhav Sinha","Taapsee Pannu","Rishi Kapoor","Thriller","",7.6,21398,"19.00","30.65"
"261","Laila Majnu",2018,"September","Sajid Ali","Avinash Tiwary","Tripti Dimri","Drama","",7.6,3161,"15.00","2.76"
"355","Hotel Mumbai",2019,"November","Anthony Maras","Anupam Kher"," Dev Patel","Drama","",7.6,61484,"15.00","158.00"
"375","Tanhaji: The Unsung Warrior",2020,"January","Om Raut","Ajay Devgn"," Saif Ali Khan","Drama","War",7.6,28560,"172.00","361.78"
"397","Lootcase",2020,"July","Rajesh Krishnan","Kunal Khemu"," Rasika Dugal","Comedy","Drama",7.6,17192,"18.00","15.00"
"413","Ludo",2020,"November","Anurag Basu","Abhishek Bachchan"," Rajkummar Rao","Drama","",7.6,38066,"21.00","43.00"
"10","Dum Laga Ke Haisha",2015,"February","Sharat Katariya","Ayushmann Khurrana","Bhumi Pednekar","Drama","",7.5,19597,"14.00","41.45"
"90","Buddha In A Traffic Jam",2016,"May","Vivek Agnihotri","Anupam Kher","Arunoday Singh","Thriller","",7.5,7558,"5.00","0.40"
"114","Parched",2016,"September","Leena Yadav","Tannishtha Chatterjee","Radhika Apte","Drama","",7.5,5283,"24.00","12.03"
"125","Dear Zindagi",2016,"November","Gauri Shinde","Shahrukh Khan","Alia Bhatt","Drama","",7.5,39294,"46.00","138.91"
"139","The Ghazi Attack",2017,"February","Sankalp Reddy","Taapsee Pannu","Rana Daggubati","Thriller","",7.5,13408,"16.00","34.53"
"148","Trapped",2017,"March","Vikramaditya Motwane","Rajkummar Rao","","Drama","Thriller",7.5,12308,"5.00","3.53"
"172","Bareilly Ki Barfi",2017,"August","Ashwiny Iyer Tiwari"," Ayushmann Khurrana","Kriti Sanon","Comedy","",7.5,22962,"20.00","54.90"
"197","Shaadi Mein Zaroor Aana",2017,"November","Ratnaa Sinha","Rajkummar Rao","Kriti Kharbanda","Romance","Drama",7.5,15359,"13.00","19.47"
"220","Hichki",2018,"March","Siddharth P Malhotra","Rani Mukherjee","Harsh Mayar","Drama","",7.5,12171,"20.00","77.00"
"228","October",2018,"April","Shoojit Sircar","Varun Dhawan","Banita Sandhu","Drama","Romance",7.5,15402,"33.00","54.98"
"232","Bioscopewala",2018,"May","Deb Medhekar","Danny Denzongpa","Geetanjali Thapa","Drama","",7.5,954,"null","0.55"
"246","Stree",2018,"August","Amar Kaushik","Shraddha Kapoor","Rajkummar Rao","Horror","",7.5,33028,"24.00","171.68"
"252","Karwaan",2018,"August","Akarsh Khurana","Dulquer Salmaan","Irrfan Khan","Comedy","",7.5,15399,"23.00","25.58"
"280","Jack & Dil",2018,"November","Sachin P. Karande","Evelyn Sharma","Rajdeep Choudhury","Comedy","",7.5,859,"10.00","0.78"
"350","The Sky Is Pink",2019,"October","Shonali Bose","Priyanka Chopra"," Farhan Akhtar","Biography","",7.5,8545,"42.00","33.86"
"407","Comedy Couple",2020,"October","Nachiket Samant","Shweta Basu Prasad"," Saqib Saleem","Drama","",7.5,3553,"7.00","null"
"421","Darbaan",2020,"December","Bipin Nadkarni","Sharib Hashmi"," Sharad Kelkar","Drama","",7.5,870,"null","null"
"424","Kaagaz",2021,"January","Satish Kaushik","Pankaj Tripathi"," Sandeepa Dhar","Biography","Drama",7.5,8582,"null","null"
"425","Ramprasad Ki Tehrvi",2021,"January","Seema Pahwa","Naseeruddin Shah"," Vinay Pathak","Drama","Family",7.5,5271,"10.00","null"
"454","Bhoot Police",2021,"September","Pavan Kirpalani","Saif Ali Khan"," Yami Gautam","Comedy","Horror",7.5,26021,"40.00","60.00"
"467","Antim: The Final Truth",2021,"November","Mahesh Manjrekar","Salman Khan"," Aayush Sharma","Drama","",7.5,39814,"48.00","59.30"
"474","Meenakshi Sundareshwar",2021,"November","Vivek Soni","Abhimanyu Dassani"," Sanya Malhotra","Comedy","Romance",7.5,17116,"10.00","null"
"8","Badlapur",2015,"February","Sriram Raghavan","Varun Dhawan","Yami Gautam","Action","Drama",7.4,23601,"29.00","78.90"
"43","MSG 2 The Messenger",2015,"September","Gurmeet Ram Rahim Singh Ji Insan","Gurmeet Ram Rahim Singh Ji Insan","","Social","",7.4,8485,"23.00","17.18"
